Kode Wilayah,Provinsi,Kabupaten/Kota,JP 2020,KP 2020,TPT Aug 2020,JPM 2020,PPM 2020,PDRB 2020,HLS 2020,RLS 2020,CT 2020,CRR 2020,CLR 2020
3101,DKI Jakarta,Kepulauan Seribu,27749,2726,7.37,3.63,14.87,259389,12.57,8.68,103,379.03,-1.57
3171,DKI Jakarta,Kota Jakarta Selatan,2226812,14430,10.79,78.09,3.43,282395,13.33,11.63,3093,134.78,-18.71
3172,DKI Jakarta,Kota Jakarta Timur,3037139,16624,9.29,122.73,4.16,159168,13.86,11.66,4577,156.96,-2.86
3173,DKI Jakarta,Kota Jakarta Pusat,1056896,20177,10.97,41.92,4.51,753710,13.25,11.38,2968,216.36,-14.45
3174,DKI Jakarta,Kota Jakarta Barat,2434511,19564,12.27,110.9,4.25,179373,12.8,10.63,2924,83.63,2.06
3175,DKI Jakarta,Kota Jakarta Utara,1778981,12708,11.79,123.59,6.78,272085,12.63,10.8,2940,173.26,12.5
3201,Jawa Barat,Bogor,5427068,2002,14.29,465.67,7.69,38787,12.48,8.3,1999,37,75.14
3202,Jawa Barat,Sukabumi,2725450,657,9.6,175.1,7.09,27282,12.23,7.07,362,13,86.19
3203,Jawa Barat,Cianjur,2477560,645,11.05,234.47,10.36,20988,11.99,7.18,406,16,67
3204,Jawa Barat,Bandung,3623790,2050,8.58,263.6,6.91,32115,12.69,8.96,1520,42,75
3205,Jawa Barat,Garut,2585607,841,8.96,262.78,9.98,22014,11.91,7.52,408,16,75.98
3206,Jawa Barat,Tasikmalaya,1865203,731,7.12,181.52,10.34,21328,12.53,7.35,268,14,94.03
3207,Jawa Barat,Ciamis,1229069,869,5.66,91.39,7.62,26608,14.06,7.7,287,17,80.49
3208,Jawa Barat,Kuningan,1167686,1051,11.22,139.2,12.82,23565,12.22,7.57,175,15,73.14
3209,Jawa Barat,Cirebon,2270621,2306,11.52,247.94,11.24,22430,12.25,6.92,595,26,74.29
3210,Jawa Barat,Majalengka,1305476,1084,5.84,138.21,11.43,26476,12.22,7.27,286,22,91.96
3211,Jawa Barat,Sumedang,1152507,759,9.89,118.38,10.26,30743,12.97,8.51,524,37,81.88
3212,Jawa Barat,Indramayu,1834434,899,9.21,220.31,12.7,45629,12.25,6.3,542,30,61.44
3213,Jawa Barat,Subang,1595320,842,9.48,149.81,9.31,24554,11.7,7.1,590,37,84.75
3214,Jawa Barat,Purwakarta,997869,1208,11.07,80.17,8.27,69119,12.11,8.09,938,94,87.31
3215,Jawa Barat,Karawang,2439085,1476,11.52,195.41,8.26,94944,12.09,7.77,1425,58,81.75
3216,Jawa Barat,Bekasi,3113017,2541,11.54,186.3,4.82,81544,13.09,9.12,623,20,85.23
3217,Jawa Barat,Bandung Barat,1788336,1970,12.25,179.46,10.49,27102,11.87,8.19,547,23,72.76
3218,Jawa Barat,Pangandaran,423667,419,5.08,36.05,8.99,28639,12.07,7.74,287,17,80.49
3271,Jawa Barat,Kota Bogor,1043070,8802,12.68,75.04,6.68,40766,13.41,10.33,909,87,59.85
3272,Jawa Barat,Kota Sukabumi,346325,7178,12.17,25.42,7.7,37503,13.47,9.59,108,31,85.19
3273,Jawa Barat,Kota Bandung,2444160,14557,11.19,100.02,3.99,112990,14.2,10.75,3414,140,74.52
3274,Jawa Barat,Kota Cirebon,333303,8921,10.97,30.61,9.52,72723,13.12,9.91,730,219,88.08
3275,Jawa Barat,Kota Bekasi,2543676,12311,10.68,134.01,4.38,31398,14,11.16,1029,40,95.04
3276,Jawa Barat,Kota Depok,2056335,10267,9.87,60.43,2.45,28335,13.92,11.28,1734,84,99.25
3277,Jawa Barat,Kota Cimahi,568400,14474,13.3,31.64,5.11,51920,13.8,10.96,547,23,72.76
3278,Jawa Barat,Kota Tasikmalaya,716155,4173,7.99,86.13,12.97,32515,13.45,9.33,371,52,82.75
3279,Jawa Barat,Kota Banjar,200973,1771,6.73,11.16,6.09,24340,13.23,8.63,107,53,71.03
3301,Jawa Tengah,Cilacap,1944857,915.46,9.1,198.6,11.46,60565,12.5,6.97,394,22.8,6
3302,Jawa Tengah,Banyumas,1776918,1330.73,6,225.84,13.26,31455,12.85,7.52,727,42.9,33
3303,Jawa Tengah,Purbalingga,998561,1473.78,6.1,149.48,15.9,26610,11.99,7.24,228,24.4,17
3304,Jawa Tengah,Banjarnegara,1017767,994.18,5.86,144.95,15.64,23372,11.46,6.74,202,21.9,76
3305,Jawa Tengah,Kebumen,1350438,1114.46,6.07,211.09,17.59,23330,13.34,7.54,213,17.8,132
3306,Jawa Tengah,Purworejo,769880,705.35,4.04,84.79,11.78,25888,13.5,8.12,165,23,9
3307,Jawa Tengah,Wonosobo,879124,895.78,5.37,137.64,17.36,23768,11.75,6.81,140,17.7,65
3308,Jawa Tengah,Magelang,1299859,1178.55,4.27,146.34,11.27,24941,12.54,7.78,271,21,63
3309,Jawa Tengah,Boyolali,1062713,1053.81,5.28,100.59,10.18,33014,12.56,7.84,421,42.7,42
3310,Jawa Tengah,Klaten,1260506,1915.02,5.46,151.83,12.89,33899,13.25,8.58,376,32,9
3311,Jawa Tengah,Sukoharjo,907587,1855.55,6.93,68.89,7.68,41087,13.83,9.34,226,25.3,47
3312,Jawa Tengah,Wonogiri,1043177,581.59,4.27,104.37,10.86,30318,12.49,7.33,154,16.1,80
3313,Jawa Tengah,Karanganyar,931963,1201.85,5.96,91.72,10.28,41485,13.68,8.56,224,25.3,37
3314,Jawa Tengah,Sragen,976951,1037.61,4.75,119.38,13.38,42390,12.83,7.65,267,30,17
3315,Jawa Tengah,Grobogan,1453526,721.76,4.5,172.26,12.46,19703,12.3,6.91,277,20.1,7
3316,Jawa Tengah,Blora,884333,490.05,4.89,103.73,11.96,27641,12.2,6.83,136,15.7,28
3317,Jawa Tengah,Rembang,645333,727.44,4.83,100.08,15.6,29474,12.11,7.16,117,18.3,24
3318,Jawa Tengah,Pati,1324188,889.2,4.74,127.37,10.08,34223,12.65,7.44,511,40.6,62
3319,Jawa Tengah,Kudus,849184,1997.38,5.53,64.24,7.31,123886,13.23,8.75,160,18.4,89
3320,Jawa Tengah,Jepara,1184947,1118.67,6.7,91.14,7.17,23658,12.75,7.68,278,22.1,50
3321,Jawa Tengah,Demak,1203956,1337.55,7.31,146.87,12.54,22614,13.31,7.71,163,14,78
3322,Jawa Tengah,Semarang,1053094,1108.28,4.57,79.88,7.51,45963,12.97,8.02,287,27.2,41
3323,Jawa Tengah,Temanggung,790174,943.25,3.85,77.33,9.96,27703,12.14,7.24,149,19.3,73
3324,Jawa Tengah,Kendal,1018505,910.9,7.56,97.49,9.99,43543,12.95,7.45,212,21.8,48
3325,Jawa Tengah,Batang,801718,1016.57,6.92,70.57,9.13,27907,12.01,6.87,242,31.5,24
3326,Jawa Tengah,Pekalongan,968821,1157.49,6.97,91.86,10.19,25250,12.41,6.91,222,24.7,56
3327,Jawa Tengah,Pemalang,1471489,1316.14,7.64,209.03,16.02,19767,11.95,6.42,232,17.8,83
3328,Jawa Tengah,Tegal,1596996,1822.85,9.82,117.5,8.14,24461,12.67,6.98,216,15,80
3329,Jawa Tengah,Brebes,1978759,1040.15,9.83,308.78,17.03,25973,12.04,6.21,77,4.3,70
3371,Jawa Tengah,Kota Magelang,121526,7567,8.59,9.27,7.58,71272,14.14,10.39,134,109.7,45
3372,Jawa Tengah,Kota Surakarta,522364,11353.27,7.92,47.03,9.03,91435,14.87,10.69,650,125.1,40
3373,Jawa Tengah,Kota Salatiga,192322,3352.89,7.44,9.69,4.94,67497,15.41,10.42,169,87.1,66
3374,Jawa Tengah,Kota Semarang,1653524,4423.79,9.57,79.58,4.34,102701,15.52,10.53,887,48.9,3
3375,Jawa Tengah,Kota Pekalongan,307150,6787.85,7.02,22.16,7.17,34942,12.84,8.96,205,66.8,70
3376,Jawa Tengah,Kota Tegal,273825,6900.83,8.4,19.55,7.8,60792,13.05,8.51,153,61.2,54
3401,DI Yogyakarta,Kulon Progo,436395,744,3.71,78.06,18.01,26825,14.26,8.86,546,126,69.05
3402,DI Yogyakarta,Bantul,985770,1945,4.06,138.66,13.5,25401,15.17,9.55,953,93,103.67
3403,DI Yogyakarta,Gunung Kidul,747161,503,2.16,127.61,17.07,25323,12.97,7.21,224,30,92.86
3404,DI Yogyakarta,Sleman,1125804,1959,5.09,99.78,8.12,37184,16.73,10.91,2345,190,72.37
3471,DI Yogyakarta,Kota Yogyakarta,373589,11495,9.16,31.62,7.27,82049,17.43,11.46,633,145,75.04
3501,Jawa Timur,Pacitan,586110,422,2.28,80.82,14.54,28391,12.64,7.6,72,13,90.28
3502,Jawa Timur,Ponorogo,949318,727,4.45,86.74,9.95,23529,13.73,7.54,402,47,87.81
3503,Jawa Timur,Trenggalek,731125,637,4.11,81.06,11.62,26254,12.35,7.55,595,88,90.59
3504,Jawa Timur,Tulungagung,1089775,1032,4.61,76.4,7.33,36644,13.31,8.33,538,54,100.74
3505,Jawa Timur,Blitar,1223745,916,3.82,108.55,9.33,30954,12.46,7.39,304,27,27.3
3506,Jawa Timur,Kediri,1635294,1180,5.24,179.93,11.4,25712,13.15,8.02,862,57,38.75
3507,Jawa Timur,Malang,2654448,752,5.49,265.56,10.15,38942,13.18,7.42,1850,75,69.35
3508,Jawa Timur,Lumajang,1119251,625,3.36,102.6,9.83,30690,11.81,6.4,356,35,12.64
3509,Jawa Timur,Jember,2536729,820,5.12,247.99,10.09,30912,13.42,6.48,1061,45,62.49
3510,Jawa Timur,Banyuwangi,1708114,295,5.34,130.37,8.06,50131,12.8,7.16,893,57,47.7
3511,Jawa Timur,Bondowoso,776151,509,4.13,110.24,14.17,25598,13.28,5.93,378,51,81.57
3512,Jawa Timur,Situbondo,685967,411,3.85,83.74,12.22,29225,13.15,6.46,296,46,18.58
3513,Jawa Timur,Probolinggo,1152537,679,4.86,218.35,18.61,28701,12.35,6.11,231,21,81.82
3514,Jawa Timur,Pasuruan,1605969,1090,6.24,151.43,9.26,88901,12.41,7.4,459,30,86.71
3515,Jawa Timur,Sidoarjo,2082801,3283,10.97,127.05,5.59,86425,14.93,10.5,1760,90,89.44
